dt,AverageTemperature,AverageTemperatureUncertainty,Country
1763-05-01,9963,3056,Austria
1763-06-01,14043,6.167999999999998,Austria
1763-07-01,16799,2536,Austria
1763-08-01,16599,3337,Austria
1763-09-01,10.697000000000001,3023,Austria
1763-10-01,4346,6.507999999999999,Austria
1763-11-01,0.2649999999999999,3632,Austria
1763-12-01,-1.1119999999999997,2.28,Austria
1764-01-01,-2.0490000000000004,5477,Austria
1764-02-01,653,3261,Austria
1764-03-01,0.31000000000000005,3687,Austria
1764-04-01,5.22,4935,Austria
1764-05-01,12945,7818,Austria
1764-06-01,14472,3151,Austria
1764-07-01,16558,5602,Austria
1764-08-01,14.030999999999999,1.79,Austria
1764-09-01,10.479000000000001,5416,Austria
1764-10-01,5.3450000000000015,3112,Austria
1764-11-01,759,3666,Austria
1764-12-01,-1848,4275,Austria
1765-01-01,-1.1420000000000001,10635,Austria
1765-02-01,-4378,4.58,Austria
1765-03-01,2.9530000000000003,3209,Austria
1765-04-01,6.65,1901,Austria
1765-05-01,10001,2778,Austria
1765-06-01,14689,3298,Austria
1765-07-01,13.77,4606,Austria
1765-08-01,15272,2912,Austria
1765-09-01,11443,1898,Austria
1765-10-01,6.9,1344,Austria
1765-11-01,1319,3949,Austria
1765-12-01,-4047,2517,Austria
1766-01-01,-7652,7.633999999999999,Austria
1766-02-01,-3898,4.49,Austria
1766-03-01,1.6969999999999998,3012,Austria
1766-04-01,7.2639999999999985,3665,Austria
1766-05-01,11.97,2476,Austria
1766-06-01,15.360999999999999,7536,Austria
1766-07-01,15.074000000000002,4258,Austria
1766-08-01,15384,3.5410000000000004,Austria
1766-09-01,12189,3734,Austria
1766-10-01,5.8530000000000015,2316,Austria
1766-11-01,2478,5.452000000000001,Austria
1766-12-01,-4.1099999999999985,3896,Austria
1767-01-01,-10829,7112,Austria
1767-02-01,-0.7899999999999998,8.517000000000001,Austria
1767-03-01,1394,8926,Austria
1767-04-01,4055,6665,Austria
1767-05-01,9.78,2636,Austria
1767-06-01,13845,3807,Austria
1767-07-01,16.381999999999998,4307,Austria
1767-08-01,15.347999999999999,2269,Austria
1767-09-01,11.7,4.27,Austria
1767-10-01,6.6320000000000014,3015,Austria
1767-11-01,3221,8648,Austria
1767-12-01,-5488,5659,Austria
1768-01-01,-8.73,12955,Austria
1768-02-01,-4748,9104,Austria
1768-03-01,-0.2269999999999999,6.5870000000000015,Austria
1768-04-01,5.736000000000001,4058,Austria
1768-05-01,10694,2.8960000000000004,Austria
1768-06-01,13.635000000000002,5.1770000000000005,Austria
1768-07-01,16.311999999999998,5155,Austria
1768-08-01,15502,1.61,Austria
1768-09-01,10665,5026,Austria
1768-10-01,5.4190000000000005,5.7410000000000005,Austria
1768-11-01,954,5.667000000000002,Austria
1768-12-01,-3916,7678,Austria
1769-01-01,-2.5410000000000004,6561,Austria
1769-02-01,-2935,3946,Austria
1769-03-01,0.7070000000000002,6144,Austria
1769-04-01,6.5360000000000005,6687,Austria
1769-05-01,10.59,9236,Austria
1769-06-01,14627,4893,Austria
1769-07-01,16026,6053,Austria
1769-08-01,14741,5.7570000000000014,Austria
1769-09-01,12.17,1649,Austria
1769-10-01,2.3870000000000005,2882,Austria
1769-11-01,1.5659999999999998,1673,Austria
